date,return,position_date
2013-05-08,0.011648852084894874,2013-05-07
2013-05-09,-0.002304110884228372,2013-05-08
2013-05-10,0.010007426618156937,2013-05-09
2013-05-13,0.01588168538457144,2013-05-10
2013-05-14,0.01262793599461561,2013-05-13
2013-05-15,0.011231622828121533,2013-05-14
2013-05-16,-0.055933942913135935,2013-05-15
2013-05-17,0.03407909498776297,2013-05-16
2013-05-20,0.004680435424076358,2013-05-17
2013-05-21,-0.005090702772168061,2013-05-20
2013-05-22,-0.010529086898107984,2013-05-21
2013-05-23,0.010003099919182417,2013-05-22
2013-05-24,0.0036905318102702315,2013-05-23
2013-05-28,0.008060560968866134,2013-05-24
2013-05-29,-0.004809555854708485,2013-05-28
2013-05-30,0.006001547824626124,2013-05-29
2013-05-31,-0.013075112968850482,2013-05-30
2013-06-03,-0.0012401390523704078,2013-05-31
2013-06-04,0.0017300766871519795,2013-06-03
2013-06-05,-0.012985183448390385,2013-06-04
2013-06-06,0.0060507346760497755,2013-06-05
2013-06-07,0.010586973742064914,2013-06-06
2013-06-10,0.003927016855629337,2013-06-07
2013-06-11,-0.009470811839824162,2013-06-10
2013-06-12,-0.0023705035512762923,2013-06-11
2013-06-13,0.010026126851522286,2013-06-12
2013-06-14,-0.0025039923491588355,2013-06-13
2013-06-17,0.01410258846053974,2013-06-14
2013-06-18,0.004314993355397883,2013-06-17
2013-06-19,-0.009563853849138302,2013-06-18
2013-06-20,-0.019605614589915502,2013-06-19
2013-06-21,0.006671122230640338,2013-06-20
2013-06-24,-0.01664333687113203,2013-06-21
2013-06-25,0.01064052441218367,2013-06-24
2013-06-26,0.002605547695657755,2013-06-25
2013-06-27,-0.0007848268078215525,2013-06-26
2013-06-28,-0.004175558913663441,2013-06-27
2013-07-01,0.007388761249657238,2013-06-28
2013-07-02,-0.00865780519986911,2013-07-01
2013-07-03,0.0014598957049459663,2013-07-02
2013-07-05,0.006758694414385856,2013-07-03
2013-07-08,0.01280156081102942,2013-07-05
2013-07-09,0.005135911789387911,2013-07-08
2013-07-10,7.178664773274679e-05,2013-07-09
2013-07-11,0.016219682118061855,2013-07-10
2013-07-12,0.008002381847237408,2013-07-11
2013-07-15,0.002591338439204715,2013-07-12
2013-07-16,-0.004045461870401723,2013-07-15
2013-07-17,9.15436414525646e-05,2013-07-16
2013-07-18,-0.0008960093291030325,2013-07-17
2013-07-19,-0.0020466257977945993,2013-07-18
2013-07-22,0.00475838947647427,2013-07-19
2013-07-23,0.002466191914685484,2013-07-22
2013-07-24,-0.00740406763413555,2013-07-23
2013-07-25,0.0036454587328240305,2013-07-24
2013-07-26,0.0006357290355519014,2013-07-25
2013-07-29,-0.006208922810729163,2013-07-26
2013-07-30,0.005843142765842731,2013-07-29
2013-07-31,-0.008945035147720212,2013-07-30
2013-08-01,0.011160822954876073,2013-07-31
2013-08-02,0.0018230931488644577,2013-08-01
2013-08-05,0.0011547923803119533,2013-08-02
2013-08-06,-0.004014897341708774,2013-08-05
2013-08-07,-0.003987994386626176,2013-08-06
2013-08-08,0.0009290800611582216,2013-08-07
2013-08-09,-0.0003803030730562453,2013-08-08
2013-08-12,-0.001514273182781185,2013-08-09
2013-08-13,0.002527622237169878,2013-08-12
2013-08-14,-0.002983745114837883,2013-08-13
2013-08-15,-0.027947744584127056,2013-08-14
2013-08-16,-0.006030531511687363,2013-08-15
2013-08-19,-0.011781063261138404,2013-08-16
2013-08-20,0.00035952204820151757,2013-08-19
2013-08-21,0.0004237282034191503,2013-08-20
2013-08-22,0.014939277372054655,2013-08-21
2013-08-23,0.0061192045579002916,2013-08-22
2013-08-26,-0.004904967138002714,2013-08-23
2013-08-27,-0.02495338361825196,2013-08-26
2013-08-28,0.0024800416899725423,2013-08-27
2013-08-29,0.0026931114207375843,2013-08-28
2013-08-30,-0.00598675328342974,2013-08-29
2013-09-03,-0.00980390616052292,2013-08-30
2013-09-04,0.013066650576385421,2013-09-03
2013-09-05,-0.0033093994891995196,2013-09-04
2013-09-06,-0.0037036650960328306,2013-09-05
2013-09-09,0.010622978776272251,2013-09-06
2013-09-10,0.01126615372724096,2013-09-09
2013-09-11,0.00306950022784385,2013-09-10
2013-09-12,-0.0032508506804944733,2013-09-11
2013-09-13,0.003585864961785858,2013-09-12
2013-09-16,0.015225150313441191,2013-09-13
2013-09-17,0.004269779494798579,2013-09-16
2013-09-18,0.008672511753246391,2013-09-17
2013-09-19,-0.0016367627936180165,2013-09-18
2013-09-20,-0.012280237522952535,2013-09-19
2013-09-23,-0.004907362881536154,2013-09-20
